Time,Vessel,Waypoints,Time Parked
8/21/17 7:45 PM,FENG HUANG AO,,0
8/21/17 7:45 PM,FANG CHENG GANG,,0
8/21/17 7:45 PM,EVERLAST,,0
8/21/17 7:45 PM,ELIZABETH ANNE,,0
8/21/17 7:45 PM,DISCOVERY COAST,,0
8/21/17 7:45 PM,DAMIA DESGAGNES,,0
8/21/17 7:45 PM,DA PENG WAN,,0
8/21/17 7:45 PM,DA MING SHAN,,0
8/21/17 7:45 PM,DA HUA SHAN,,0
8/21/17 7:45 PM,CPO RUSSIA,,0
8/21/17 7:45 PM,COSMIC 8,,0
8/21/17 7:45 PM,COSMIC 5,,0
8/21/17 7:45 PM,COSMIC 3,,0
8/21/17 7:45 PM,COSMIC 20,,0
8/21/17 7:45 PM,COSMIC 11,,0
8/21/17 7:45 PM,COHO,,0
8/21/17 7:45 PM,CLOVER,,0
8/21/17 7:45 PM,CHESAPEAKE,,60
8/21/17 7:45 PM,CALUSA COAST,,0
8/21/17 7:45 PM,BROOKE CHAPMAN,,0
8/21/17 7:45 PM,BLUEFIN,,0
8/21/17 7:45 PM,BLANCO,,0
8/21/17 7:45 PM,BLACK SHARK,,0
8/21/17 7:45 PM,BITUMA 1,,0
8/21/17 7:45 PM,BITU EXPRESS,,0
8/21/17 7:45 PM,BITLAND,,0
8/21/17 7:45 PM,BITFLOWER,,0
8/21/17 7:45 PM,BIT REDO,,0
8/21/17 7:45 PM,BISKRA,,0
8/21/17 7:45 PM,BD 51,,0
8/21/17 7:45 PM,BARBARA ANDRIE,,0
8/21/17 7:45 PM,ATLANTIC COAST,,60
8/21/17 7:45 PM,ASPHALTtRANSPORTER,,0
8/21/17 7:45 PM,ASPHALT SUMMER,,0
8/21/17 7:45 PM,ASPHALT STAR,,0
8/21/17 7:45 PM,ASPHALT SPRING,,0
8/21/17 7:45 PM,ASPHALT SPLENDOR,,0
8/21/17 7:45 PM,ASPHALT SPIRIT,,0
8/21/17 7:45 PM,ASPHALT SEMINOLE,,0
8/21/17 7:45 PM,ASPHALT SAILOR,,0
8/21/17 7:45 PM,ASPHALT PRINCESS,,0
8/21/17 7:45 PM,ASPHALT EAGLE,,0
8/21/17 7:45 PM,ASPHALT CARRIER,,0
8/21/17 7:45 PM,ARDEA,,0
8/21/17 7:45 PM,ANTIGONE,,0
8/21/17 7:45 PM,ANNE JARRETT,,0
8/21/17 7:45 PM,ANACOSTIA,,0
8/21/17 7:45 PM,AN HAI WAN,,0
8/21/17 7:45 PM,ALPS WIDESHINE,,0
8/21/17 7:45 PM,ACACIA RUBRA,,0
8/21/17 7:45 PM,3B VICTORY,,0
8/21/17 8:00 PM,ZHUANG YUAN AO,,0
8/21/17 8:00 PM,ZHEN ZHU WAN,,0
8/21/17 8:00 PM,YUE LIANG WAN,,0
8/21/17 8:00 PM,YELLOWFIN,,0
8/21/17 8:00 PM,VIVEKA,,0
8/21/17 8:00 PM,THEODORA,,0
8/21/17 8:00 PM,TERESA,,0
8/21/17 8:00 PM,TARPON,,0
8/21/17 8:00 PM,TAI WO,,0
8/21/17 8:00 PM,SUNPOWER,,0
8/21/17 8:00 PM,STOLT FUJI,,0
8/21/17 8:00 PM,STELLA VIRGO,,0
8/21/17 8:00 PM,STELLA POLARIS,,0
8/21/17 8:00 PM,SOFIA,,0
8/21/17 8:00 PM,SKIPJACK,,0
8/21/17 8:00 PM,SEAPOWER,,0
8/21/17 8:00 PM,SAO DOMINGOS SAVIO,,0
8/21/17 8:00 PM,SAN DU AO,,0
8/21/17 8:00 PM,SAN BEATO,,0
8/21/17 8:00 PM,SAN BACCO,,0
8/21/17 8:00 PM,REBECCA LYNN,,0
8/21/17 8:00 PM,PING HAI WAN,,0
8/21/17 8:00 PM,PENG HU WAN,,0
8/21/17 8:00 PM,PATHFINDER,,0
8/21/17 8:00 PM,PANDION,,0
8/21/17 8:00 PM,PALANCA SYDNEY,,0
8/21/17 8:00 PM,PALANCA SINGAPORE,,75
8/21/17 8:00 PM,PALANCA RIO,,0
8/21/17 8:00 PM,PALANCA MUSCAT,,0
8/21/17 8:00 PM,PALANCA MONTEVIDEO,,0
8/21/17 8:00 PM,PALANCA MIAMI,,0
8/21/17 8:00 PM,PALANCA MAPUTO,,0
8/21/17 8:00 PM,PALANCA LUANDA,,0
8/21/17 8:00 PM,PALANCA CADIZ,,0
8/21/17 8:00 PM,OCEAN WORLD,,0
8/21/17 8:00 PM,NORTH SEA,,0
8/21/17 8:00 PM,NING HAI WAN,,0
8/21/17 8:00 PM,NEWLEAD GRANADINO,,0
8/21/17 8:00 PM,NEPHELI,,0
8/21/17 8:00 PM,MISS GILL,,0
8/21/17 8:00 PM,MARY E HANNAH,,0
8/21/17 8:00 PM,MARONI,,0
8/21/17 8:00 PM,MAKO,,0
8/21/17 8:00 PM,LUCKY D,,0
8/21/17 8:00 PM,LINDA LEE BOUCHARD,,0
8/21/17 8:00 PM,LEO ASPHALT I,,0
8/21/17 8:00 PM,LEO A.MCARTHUR,,0
8/21/17 8:00 PM,LAGAN,,0
8/21/17 8:00 PM,KATERINA L,,0
8/21/17 8:00 PM,KAREN PAPE,,0
8/21/17 8:00 PM,KAREN ANDRIE,,0
8/21/17 8:00 PM,JAYA OCEAN,,0
8/21/17 8:00 PM,JANESIA ASPHALT VI,,0
8/21/17 8:00 PM,JANESIA ASPHALT V,,0
8/21/17 8:00 PM,JANESIA ASPHALT IV,,0
8/21/17 8:00 PM,IVER EXACT,,0
8/21/17 8:00 PM,IVER BRILLIANT,,0
8/21/17 8:00 PM,IVER BRIGHT,,0
8/21/17 8:00 PM,IVER BLESSING,,0
8/21/17 8:00 PM,IVER BITUMEN,,0
8/21/17 8:00 PM,IVER BEST,,0
8/21/17 8:00 PM,IVER BEAUTY,,0
